exercise_name,muscle_group,type,sets,repetitions,duration,intensity,target_goal
Push Ups,Chest,Strength,3,12,10,Medium,weight gain
Bench Press,Chest,Strength,4,10,12,High,weight gain
Dumbbell Fly,Chest,Strength,3,12,10,Medium,weight gain
Squats,Legs,Strength,3,15,10,Medium,weight gain
Deadlift,Back,Strength,4,8,15,High,weight gain
Bicep Curls,Arms,Strength,3,12,8,Medium,weight gain
Tricep Dips,Arms,Strength,3,12,8,Medium,weight gain
Shoulder Press,Shoulders,Strength,3,10,8,Medium,weight gain
Lat Pulldown,Back,Strength,3,10,10,Medium,weight gain
Leg Press,Legs,Strength,3,12,12,Medium,weight gain
Jumping Jacks,Full Body,Cardio,3,20,5,Medium,weight loss
Burpees,Full Body,Cardio,3,12,8,High,weight loss
Mountain Climbers,Full Body,Cardio,3,15,7,High,weight loss
High Knees,Full Body,Cardio,3,20,6,High,weight loss
Jump Rope,Full Body,Cardio,3,100,5,Medium,weight loss
Running (Treadmill),Full Body,Cardio,1,1,20,Medium,weight loss
Cycling,Legs,Cardio,1,1,25,Medium,weight loss
Plank,Core,Strength,3,1,5,Medium,maintain
Russian Twist,Core,Strength,3,15,5,Medium,maintain
Lunges,Legs,Strength,3,12,10,Medium,maintain
Side Plank,Core,Strength,3,1,5,Medium,maintain
Shoulder Raises,Shoulders,Strength,3,12,6,Low,maintain
Glute Bridge,Glutes,Strength,3,15,8,Medium,maintain
Step Ups,Legs,Strength,3,12,10,Medium,maintain
Side Lunges,Legs,Strength,3,12,10,Medium,maintain
Kettlebell Swing,Full Body,Strength,3,12,10,High,weight gain
Pull Ups,Back,Strength,3,8,10,High,weight gain
Chin Ups,Back,Strength,3,8,10,High,weight gain
Dips (Parallel Bars),Arms,Strength,3,10,8,Medium,weight gain
Calf Raises,Legs,Strength,3,15,5,Medium,weight gain
Arm Circles,Shoulders,Strength,3,15,5,Low,maintain
Bicycle Crunches,Core,Strength,3,20,5,Medium,weight loss
Side Shuffles,Legs,Cardio,3,20,6,Medium,weight loss
Wall Sit,Legs,Strength,3,1,5,Medium,maintain
Hip Thrust,Glutes,Strength,3,12,8,Medium,weight gain
Upright Row,Shoulders,Strength,3,10,6,Medium,weight gain
Dumbbell Rows,Back,Strength,3,12,10,Medium,weight gain
Arnold Press,Shoulders,Strength,3,10,8,Medium,weight gain
Cable Crossover,Chest,Strength,3,12,10,Medium,weight gain
Front Raises,Shoulders,Strength,3,12,6,Low,maintain
Back Extensions,Back,Strength,3,15,8,Medium,maintain
Side Crunches,Core,Strength,3,15,5,Medium,maintain
Step Aerobics,Full Body,Cardio,3,1,10,Medium,weight loss
Skater Jumps,Full Body,Cardio,3,12,6,High,weight loss
Jump Squats,Legs,Strength,3,12,6,High,weight loss
Donkey Kicks,Glutes,Strength,3,12,6,Medium,maintain
Reverse Lunges,Legs,Strength,3,12,8,Medium,maintain
Inch Worm,Full Body,Strength,3,10,8,Medium,maintain
Plank Jacks,Core/Full Body,Cardio,3,15,5,High,weight loss
Wall Push Ups,Chest,Strength,2,8,5,Low,weight gain
Chair Squats,Legs,Strength,2,10,5,Low,weight gain
Modified Plank,Core,Strength,2,1,3,Low,maintain
Seated Knee Raises,Core,Strength,2,10,3,Low,maintain
Step Touch,Full Body,Cardio,2,20,5,Low,weight loss
March in Place,Full Body,Cardio,2,1,5,Low,weight loss
Arm Circles Small,Shoulders,Strength,2,10,3,Low,maintain
Side Leg Raises,Legs,Strength,2,10,5,Low,maintain
Seated Arm Raises,Shoulders,Strength,2,10,3,Low,maintain
Standing Calf Raises,Legs,Strength,2,10,5,Low,weight gain
Gentle Step Ups,Legs,Strength,2,10,5,Low,maintain
Side Step March,Full Body,Cardio,2,1,5,Low,weight loss
Mini Squats,Legs,Strength,2,8,5,Low,weight gain
Heel Raises,Legs,Strength,2,12,3,Low,maintain
Slow Arm Punches,Arms,Cardio,2,10,3,Low,weight loss
